date,demand
2017-02-14,91315
2017-02-15,89563
2017-02-16,87272
2017-02-17,80947
2017-02-18,78656
2017-02-19,75104
2017-02-20,82895
2017-02-21,87893
2017-02-22,89133
2017-02-23,83349
2017-02-24,85497
2017-02-25,77774
2017-02-26,71624
2017-02-27,85473
2017-02-28,86833
2017-03-01,86583
2017-03-02,88340
2017-03-03,83520
2017-03-04,76791
2017-03-05,69847
2017-03-06,82490
2017-03-07,87653
2017-03-08,87640
2017-03-09,85194
2017-03-10,83360
2017-03-11,77220
2017-03-12,72440
2017-03-13,83567
2017-03-14,86229
2017-03-15,90074
2017-03-16,84525
2017-03-17,82605
2017-03-18,74363
2017-03-19,67726
2017-03-20,69869
2017-03-21,82730
2017-03-22,80740
2017-03-23,81469
2017-03-24,81629
2017-03-25,76045
2017-03-26,76906
2017-03-27,89772
2017-03-28,84822
2017-03-29,81411
2017-03-30,77344
2017-03-31,81840
2017-04-01,79382
2017-04-02,70068
2017-04-03,77643
2017-04-04,77227
2017-04-05,74060
2017-04-06,72748
2017-04-07,72436
2017-04-08,67690
2017-04-09,64520
2017-04-10,73518
2017-04-11,83935
2017-04-12,74490
2017-04-13,74713
2017-04-14,72869
2017-04-15,65658
2017-04-16,61353
2017-04-17,69719
2017-04-18,72154
2017-04-19,71217
2017-04-20,70973
2017-04-21,71058
2017-04-22,66202
2017-04-23,61999
2017-04-24,70135
2017-04-25,71205
2017-04-26,71409
2017-04-27,71005
2017-04-28,69419
2017-04-29,62669
2017-04-30,59242
2017-05-01,65733
2017-05-02,64196
2017-05-03,58081
2017-05-04,56786
2017-05-05,57024
2017-05-06,59206
2017-05-07,58563
2017-05-08,68647
2017-05-09,69578
2017-05-10,70920
2017-05-11,72374
2017-05-12,73074
2017-05-13,66410
2017-05-14,59751
2017-05-15,69092
2017-05-16,70155
2017-05-17,69790
2017-05-18,70607
2017-05-19,71191
2017-05-20,66583
2017-05-21,64325
2017-05-22,74187
2017-05-23,74634
2017-05-24,73440
2017-05-25,73281
2017-05-26,72159
2017-05-27,65374
2017-05-28,61312
2017-05-29,71253
2017-05-30,75927
2017-05-31,76319
2017-06-01,75845
2017-06-02,74423
2017-06-03,65542
2017-06-04,60753
2017-06-05,70202
2017-06-06,71354
2017-06-07,71510
2017-06-08,73408
2017-06-09,74439
2017-06-10,69666
2017-06-11,62863
2017-06-12,70880
2017-06-13,71904
2017-06-14,71817
2017-06-15,73518
2017-06-16,75655
2017-06-17,67118
2017-06-18,62047
2017-06-19,72914
2017-06-20,76448
2017-06-21,76393
2017-06-22,76605
2017-06-23,78943
2017-06-24,72045
2017-06-25,66929
2017-06-26,76050
2017-06-27,77746
2017-06-28,77419
2017-06-29,80138
2017-06-30,78759
2017-07-01,71733
2017-07-02,71679
2017-07-03,88138
2017-07-04,87514
2017-07-05,86643
2017-07-06,85923
2017-07-07,88413
2017-07-08,83424
2017-07-09,79309
2017-07-10,91154
2017-07-11,93044
2017-07-12,95916
2017-07-13,95196
2017-07-14,94016
2017-07-15,85955
2017-07-16,83347
2017-07-17,87988
2017-07-18,90272
2017-07-19,88977
2017-07-20,93669
2017-07-21,96503
2017-07-22,87531
2017-07-23,76399
2017-07-24,91469
2017-07-25,94699
2017-07-26,84668
2017-07-27,80696
2017-07-28,87508
2017-07-29,80027
2017-07-30,72316
2017-07-31,90183
2017-08-01,88381
2017-08-02,78368
2017-08-03,79830
2017-08-04,83611
2017-08-05,82766
2017-08-06,82533
2017-08-07,95582
2017-08-08,96422
2017-08-09,100302
2017-08-10,86036
2017-08-11,72015
2017-08-12,69380
2017-08-13,69880
2017-08-14,69401
2017-08-15,67701
2017-08-16,66904
2017-08-17,73313
2017-08-18,79177
2017-08-19,77044
2017-08-20,70451
2017-08-21,84975
2017-08-22,91390
2017-08-23,96163
2017-08-24,98326
2017-08-25,99805
2017-08-26,87409
2017-08-27,74363
2017-08-28,85922
2017-08-29,94416
2017-08-30,92805
2017-08-31,78444
2017-09-01,75236
2017-09-02,66086
2017-09-03,64437
2017-09-04,72330
2017-09-05,77150
2017-09-06,76720
2017-09-07,78179
2017-09-08,79581
2017-09-09,72233
2017-09-10,70262
2017-09-11,81327
2017-09-12,82975
2017-09-13,84256
2017-09-14,83636
2017-09-15,77689
2017-09-16,68017
2017-09-17,63860
2017-09-18,75695
2017-09-19,79140
2017-09-20,76999
2017-09-21,77834
2017-09-22,76116
2017-09-23,66161
2017-09-24,64008
2017-09-25,76010
2017-09-26,78193
2017-09-27,77258
2017-09-28,74613
2017-09-29,71509
2017-09-30,65344
2017-10-01,61888
2017-10-02,72576
2017-10-03,76545
2017-10-04,71598
2017-10-05,70551
2017-10-06,71230
2017-10-07,66220
2017-10-08,62216
2017-10-09,65895
2017-10-10,76465
2017-10-11,75795
2017-10-12,78329
2017-10-13,73358
2017-10-14,67473
2017-10-15,64094
2017-10-16,74487
2017-10-17,75463
2017-10-18,73145
2017-10-19,78811
2017-10-20,76240
2017-10-21,69780
2017-10-22,66367
2017-10-23,71535
2017-10-24,73234
2017-10-25,75759
2017-10-26,72831
2017-10-27,72414
2017-10-28,68833
2017-10-29,66723
2017-10-30,71540
2017-10-31,74441
2017-11-01,73700
2017-11-02,72742
2017-11-03,66956
2017-11-04,65395
2017-11-05,63519
2017-11-06,72503
2017-11-07,73370
2017-11-08,74941
2017-11-09,74492
2017-11-10,75481
2017-11-11,68791
2017-11-12,65531
2017-11-13,75513
2017-11-14,78334
2017-11-15,77015
2017-11-16,77881
2017-11-17,79438
2017-11-18,76221
2017-11-19,71194
2017-11-20,86561
2017-11-21,85942
2017-11-22,88002
2017-11-23,81050
2017-11-24,82434
2017-11-25,76933
2017-11-26,70829
2017-11-27,79574
2017-11-28,81025
2017-11-29,78900
2017-11-30,82504
2017-12-01,84238
2017-12-02,78232
2017-12-03,73556
2017-12-04,85194
2017-12-05,84315
2017-12-06,87013
2017-12-07,88428
2017-12-08,92675
2017-12-09,83697
